Madena,,-,Y,Dawnstar,The White Hall - Dawnstar,Spells,500,No,Yes,
Thoring,(Karita),-,Y (Y),Dawnstar,Windpeak Inn - Dawnstar,Innkeeper,100,No,No,
Hadring,,-,Y,Dawnstar - Nightgate Inn,Nightgate Inn,Innkeeper,100,No,No,
Babette,,-,Y,Falkreath,The Dark Brotherhood Sanctuary,Apothecary,500,No,Yes,
Lod,,-,Y,Falkreath,Lod's House - Falkreath,Blacksmith,1000,No,Yes,
Valga Vinicia,,-,Y,Falkreath,Dead Man's Drink - Falkreath,Innkeeper,100,No,No,
Zaria,,-,Y,Falkreath,Grave Concoctions - Falkreath,Apothecary,500,No,Yes,
Anton Virane,,-,Y,Markarth,In Understone Keep,Innkeeper,100,No,No,
Endon,,-,Y,Markarth,Endon's House,Fence,1000-4000,No,Yes,
Hogni Red-Arm,,-,Y,Markarth,Marketplace Stall,Innkeeper,50,No,No,
Kerah,,-,Y,Markarth,Marketplace Stall,Jeweler,50,No,No,
Kleppr,(Frabbi),-,Y (Y),Markarth,Silver-Blood Inn,Innkeeper,100,No,No,
Gharol,,-,Y,Dushnikh Yal,at Burguk's Longhouse,Blacksmith,400,No,Yes,
Murbul,,-,Y,Dushnikh Yal,at Burguk's Longhouse,Apothecary,500,No,Yes,
Sharamph,,-,Y,Mor Khazgur,at Larak's Longhouse,Apothecary,500,No,Yes,
Shuftharz,,-,Y,Mor Khazgur,at Larak's Longhouse,Blacksmith,400,No,Yes,
Eydis,(Leontius Salvius),-,Y (Y),Old Hroldan Inn,Old Hroldan Inn,Innkeeper,100,No,No,
Falion,,-,Y,Morthal,Falion's House,Spells,500,No,Yes,
Jonna,,-,Y,Morthal,Moorside Inn,Innkeeper,100,No,No,
Imperial Quartermaster,,-,Y,Most Imperial camps,,Blacksmith,1000,No,No,
Stormcloak Quartermaster,,-,Y,Most Stormcloak camps,,Blacksmith,1000,No,No,
Hunter,,-,Y,Randomly anywhere in the wilderness,,General,3-36*,No,No,"Hunters will not dissipate their wealth when you sell them things. They have theoretically unlimited wealth. It is just that they will only pay up to a certain amount of gold for a single item, or a single stack of items."
Skooma Dealer,,-,Y,Randomly anywhere in the wilderness,,Skooma,20-56,No,No,
Peddler,,-,Y,Randomly anywhere in the wilderness (being attacked by bandits or Forsworn),,General,50-77,No,No,
Arnskar Ember-Master,,-,Y,Riften,The Ragged Flagon,Blacksmith,1000,No,Yes,
Brand-Shei,,-,Y,Riften,Marketplace Stall,General,750,No,Yes,
Grelka,,-,Y,Riften,Marketplace Stall,General,750,No,Yes,
Herluin Lothaire,,-,Y,Riften,The Ragged Flagon,Apothecary,500,No,Yes,
Keerava; Talen-Jei,,-,Y,Riften,The Bee and Barb,Innkeeper,100,No,No,
Madesi,,-,Y,Riften,Marketplace Stall,Jeweler,750,No,No,
Marise Aravel,,-,Y,Riften,Marketplace Stall,General,50,No,No,
Syndus,,-,Y,Riften,The Ragged Flagon,Blacksmith,1000,No,Yes,
Tonilia,,-,Y,Riften,The Ragged Flagon,Fence,1000-4000,No,Yes,
Ungrien,,-,Y,Riften,Black-Briar Meadery,Innkeeper,100,No,No,
Vanryth Gatharian,,-,Y,Riften,The Ragged Flagon,Blacksmith,1000,No,Yes,
Vekel the Man,(Dirge),-,Y (Y),Riften,The Ragged Flagon,Innkeeper,100,No,No,
Florentius Baenius,,-,Y,Fort Dawnguard,,Spells,500,No,No,Hostile to vampires
Gunmar,,-,Y,Fort Dawnguard,,Blacksmith,1000,No,No,Hostile to vampires
Sorine Jurard,,-,Y,Fort Dawnguard,,General,750,No,No,Hostile to vampires
Wilhelm,,-,Y,Ivarstead,Vilemyr Inn,Innkeeper,100,No,No,
Filnjar,,-,Y,Shor's Stone,Filnjar's House,Blacksmith,500,No,Yes,
Addvar,(Greta),-,Y (Y),Solitude,Marketplace Stall,Innkeeper,50,No,Yes,
Corpulus Vinius,,-,Y,Solitude,The Winking Skeever,Innkeeper,100,No,Yes,
Evette San,,-,Y,Solitude,Marketplace Stall,Innkeeper,50,No,Yes,
Gulum-Ei,,-,Y,Solitude,The Winking Skeever,Fence,,No,Yes,
Jala,,-,Y,Solitude,Marketplace Stall,Innkeeper,50,No,Yes,
