Unbound,Escape Imperial custody and a dragon raid.,N/A,Main Quest,,,Helgen,
Before the Storm,Inform the Jarl of Whiterun about the dragon attack on Helgen.,Hadvar or Ralof,Main Quest,,,Riverwood,
Bleak Falls Barrow,Retrieve the Dragonstone.,Jarl Balgruuf,Main Quest,,,Whiterun,
Dragon Rising,Investigate a Dragon sighting near Whiterun.,Jarl Balgruuf,Main Quest,,,Whiterun,
The Way of the Voice,Meet the Greybeards.,Jarl Balgruuf,Main Quest,,,Whiterun,
The Horn of Jurgen Windcaller,Retrieve a Greybeard artifact from Ustengrav.,Arngeir,Main Quest,,,High Hrothgar,
A Blade in the Dark,Prove you are Dragonborn to Delphine by slaying the dragon Sahloknir.,A Mysterious Note,Main Quest,,,Sleeping Giant Inn,
Diplomatic Immunity,Infiltrate a party at the Thalmor Embassy.,Delphine,Main Quest,,,Riverwood,
A Cornered Rat,Locate Esbern.,Delphine,Main Quest,,,Riverwood,
Alduin's Wall,Locate the prophecy within Sky Haven Temple.,Esbern,Main Quest,,,Riverwood,
The Throat of the World,Receive a lesson from Paarthurnax.,Arngeir,Main Quest,,,High Hrothgar,
Elder Knowledge,Locate an Elder Scroll.,Paarthurnax,Main Quest,,,High Hrothgar,
Alduin's Bane,Exploit the Time Wound to learn Dragonrend.,Paarthurnax,Main Quest,,,Throat of the World,
The Fallen,Capture and interrogate one of Alduin's allies.,"Paarthurnax
Arngeir
Esbern",Main Quest,,,Throat of the World,
Paarthurnax (optional),Deal with a potential threat.,,Main Quest,,,Throat of the World,
Season Unending (optional),Enforce a ceasefire to secure Dragonsreach.,,Main Quest,,,Whiterun,
The World-Eater's Eyrie,Battle through Skuldafn Temple to reach Alduin's portal to Sovngarde.,,Main Quest,,,Skuldafn Temple,
Sovngarde,Seek out Alduin within Sovngarde.,,Main Quest,,,Sovngarde,
Dragonslayer,Put an end to the World Eater.,,Main Quest,,,Sovngarde,
College Objective Quest,Visit the College of Winterhold.,,Faction Quest,College of Winterhold,Main Quests,College of Winterhold,
First Lessons,Join the College of Winterhold.,,Faction Quest,College of Winterhold,Main Quests,College of Winterhold,
Under Saarthal,Uncover the mysteries beneath this ancient ruin.,Tolfdir,Faction Quest,College of Winterhold,Main Quests,College of Winterhold,
Hitting the Books,Find the books needed to identify the artifact found in Saarthal.,Savos Aren,Faction Quest,College of Winterhold,Main Quests,Fellglow Keep,
Good Intentions,Find and consult the Augur of Dunlain.,Tolfdir,Faction Quest,College of Winterhold,Main Quests,College of Winterhold,
Revealing the Unseen,Discover the location of Magnus' staff.,Mirabelle Ervine,Faction Quest,College of Winterhold,Main Quests,College of Winterhold,
Containment,Deal with the aftermath of the Eye's power surge.,,Faction Quest,College of Winterhold,Main Quests,College of Winterhold,
The Staff of Magnus,Retrieve the Staff of Magnus.,Mirabelle Ervine,Faction Quest,College of Winterhold,Main Quests,College of Winterhold,
The Eye of Magnus,Reclaim the College and contain the Eye.,,Faction Quest,College of Winterhold,Optional Quests,College of Winterhold,
Arniel's Endeavor,Uncover an ancient Dwemer secret.,Arniel Gane,Faction Quest,College of Winterhold,Optional Quests,College of Winterhold,
Brelyna's Practice,Help Brelyna Maryon test spells.,Brelyna Maryon,Faction Quest,College of Winterhold,Optional Quests,College of Winterhold,
J'zargo's Experiment,Help J'zargo test out a fiery new spell.,J'zargo,Faction Quest,College of Winterhold,Optional Quests,College of Winterhold,
Onmund's Request,Help Onmund negotiate the return of a family amulet.,Onmund,Faction Quest,College of Winterhold,Optional Quests,College of Winterhold,
Out of Balance,Purify the focus points for magical energy around the College.,Drevis Neloren,Faction Quest,College of Winterhold,Optional Quests,College of Winterhold,
Rejoining the College,Make amends for breaking the College of Winterhold rules.,,Faction Quest,College of Winterhold,Radiant Quests,College of Winterhold,
Enchanting Pick-Up,Sergius wants you to pick-up an item from a client for enchanting.,Sergius Turrianus,Faction Quest,College of Winterhold,Radiant Quests,College of Winterhold,
Restocking Soul Gems,Help Sergius Turrianus to fill his stock with soul gems.,Sergius Turrianus,Faction Quest,College of Winterhold,Radiant Quests,College of Winterhold,
Tolfdir The Absent-Minded,Help Tolfdir find his missing alembic.,Tolfdir,Faction Quest,College of Winterhold,Radiant Quests,College of Winterhold,
Aftershock,Put an end to the rupture caused by the Eye of Magnus.,Tolfdir,Faction Quest,College of Winterhold,Radiant Quests,College of Winterhold,
Fetch me that Book!,Fetch a book for Urag gro-Shub.,"Urag
gro-Shub",Faction Quest,College of Winterhold,Radiant Quests,College of Winterhold,
Shalidor's Insights,Discover the writings of Shalidor and benefit from his wisdom.,"Urag 
gro-Shub",Faction Quest,College of Winterhold,Radiant Quests,College of Winterhold,
Alteration Ritual Spell,Find the Fang and use it to get Heartscales from a dragon.,Tolfdir,Faction Quest,College of Winterhold,Master Skill Quests,College of Winterhold,
Conjuration Ritual Spell,Find a Sigil Stone by summoning a Daedra.,Phinis Gestor,Faction Quest,College of Winterhold,Master Skill Quests,College of Winterhold,
